"COLUMN_NAME"	"LABEL"	"UNITS"	"LEGAL_VALUES"	"VAR_TYPE"	"RANGE_HIGH"	"RANGE_LOW"
"ALGAL_GROUP"	"Broad algal group, used in metric calculation"	"None"	"CRYPTOPHYTES|CYANOBACTERIA|DIATOM|DINOFLAGELLATES|EUGLENOIDS|EUSTIGMATOPHYTES|GOLDEN ALGAE|GREEN ALGAE|OTHER|UNDETERMINTED| YELLOW-GREEN ALGAE"			
"CLASS"	"Class of taxon"					
"FAMILY"	"Family of taxon"					
"GENUS"	"Genus of taxon"					
"ORDER"	"Order of taxon"					
"PHYLUM"	"Phylum of taxon"					
"PUBLICATION_DATE"	"Date the dataset was published to the NARS site"					
"SPECIES_EPITHET"	"Species epithet of taxon"					
"SPECIES_NAME"	"Full species name of taxon"					
"TARGET_TAXON"	"Name of taxon at target taxon level"					
"TAXA_ID"	"NLA Taxon ID number"					
